#,Country,Total Cases,Total Deaths,Total Tests,Population
110,Montenegro,"3,930",73,"41,729","628,076"
111,Congo,"3,745",60,,"5,533,484"
112,Namibia,"3,726",31,"38,743","2,546,271"
113,Eswatini,"3,670",68,"28,380","1,161,610"
114,Thailand,"3,376",58,"7,49,213","69,821,712"
115,Somalia,"3,250",93,,"15,942,742"
116,Cuba,"3,229",88,"3,19,440","11,325,748"
117,Cabo Verde,"3,136",33,"61,633","556,713"
118,Mayotte,"3,119",39,"13,000","273,563"
119,Sri Lanka,"2,888",11,"1,66,737","21,424,320"
120,Slovakia,"2,855",31,"2,92,825","5,459,973"
121,Suriname,"2,838",41,"4,449","587,268"
122,Mozambique,"2,708",19,"75,430","31,353,176"
123,Mali,"2,597",125,"30,772","20,315,702"
124,South Sudan,"2,482",47,"12,044","11,209,439"
125,Slovenia,"2,401",129,"1,42,913","2,078,974"
126,Lithuania,"2,386",81,"5,76,248","2,717,297"
127,Rwanda,"2,293",8,"3,23,905","12,988,585"
128,Estonia,"2,184",63,"1,33,506","1,326,646"
129,Guinea-Bissau,"2,088",29,"1,500","1,973,297"
130,Benin,"2,014",38,"1,01,987","12,158,940"
131,Iceland,"1,999",10,"1,77,586","341,514"
132,Sierra Leone,"1,947",69,,"7,995,721"
133,Tunisia,"1,903",53,"1,08,823","11,833,502"
134,Yemen,"1,858",528,120,"29,901,288"
135,Angola,"1,852",86,"64,747","32,978,752"
136,Gambia,"1,689",54,"6,312","2,424,243"
137,New Zealand,"1,609",22,"5,48,260","50,02,100"
138,Syria,"1,515",58,,"17,548,920"
139,Uruguay,"1,421",38,"1,42,599","3,475,219"
140,Uganda,"1,385",12,"3,12,792","45,899,579"
141,Malta,"1,348",9,"1,54,522","441,689"
142,Jordan,"1,329",11,"6,79,751","10,215,350"
143,Georgia,"1,321",17,"2,83,789","3,988,201"
144,Cyprus,"1,318",20,"2,39,630","1,208,430"
145,Latvia,"1,315",32,"2,24,412","1,883,484"
146,Liberia,"1,252",82,,"5,071,223"
147,Burkina Faso,"1,240",54,,"20,967,427"
148,Botswana,"1,214",3,"87,280","2,357,115"
149,Niger,"1,161",69,"9,052","24,300,703"
150,Togo,"1,124",26,"51,523","8,300,835"
151,Bahamas,"1,119",17,"7,322","393,698"
152,Jamaica,"1,082",14,"45,720","2,962,760"
153,Andorra,989,53,"3,750","77,280"
154,Aruba,973,4,"14,047","106,822"
155,Chad,951,76,,"16,478,310"
156,Vietnam,950,23,"6,21,823","97,444,594"
157,Sao Tome and Principe,885,15,"3,249","219,633"
158,Lesotho,884,25,"11,097","2,144,313"
159,Réunion,776,5,"35,419","896,091"
160,Diamond Princess,712,13,,
161,San Marino,699,42,"6,068","33,940"
162,Guyana,649,22,"5,809","787,019"
163,Channel Islands,607,47,"52,055","174,057"
164,Tanzania,509,21,,"59,923,721"
165,Taiwan,482,7,"84,446","23,822,138"
166,Guadeloupe,446,14,"22,696","400,133"
167,Trinidad and Tobago,426,10,"12,937","1,400,049"
168,Burundi,412,1,"17,306","11,929,990"
169,Comoros,403,7,,"871,732"
170,Belize,388,3,"4,860","398,470"
171,Myanmar,374,6,"1,30,539","54,454,349"
172,Faeroe Islands,370,,"68,620","48,886"
173,Mauritius,345,10,"2,05,285","1,272,031"
174,Isle of Man,336,24,"9,066","85,088"
175,Martinique,336,16,"12,227","375,228"
176,Mongolia,298,,"43,158","3,284,499"
177,Eritrea,285,,,"3,552,248"
178,Turks and Caicos,274,2,"1,672","38,779"
179,Cambodia,273,,"78,631","16,746,434"
180,Papua New Guinea,271,3,"11,920","8,966,719"
181,Sint Maarten,269,17,"1,672","42,934"
182,Gibraltar,209,,"27,046","33,690"
183,Cayman Islands,203,1,"32,468","65,814"
184,French Polynesia,166,,"6,525","281,107"
185,Bermuda,159,9,"31,582","62,249"
186,Barbados,148,7,"14,037","287,419"
187,Monaco,146,4,"38,209","39,276"
188,Brunei,142,3,"43,312","437,985"
189,Bhutan,133,,"56,340","772,628"
190,Seychelles,127,,,"98,422"
191,Saint Martin,109,4,"2,321","38,743"
192,Antigua and Barbuda,93,3,"1,780","98,027"
193,Liechtenstein,91,1,900,"38,142"
194,St. Vincent Grenadines,57,,"2,649","110,984"
195,Macao,46,,"4,071","650,387"
196,Curaçao,33,1,"1,080","164,176"
197,Fiji,28,1,"6,693","897,237"
198,Saint Lucia,25,,"4,465","183,730"
199,Timor-Leste,25,,"4,238","1,321,362"
200,Grenada,24,,"6,252","112,587"
201,New Caledonia,23,,"11,265","285,829"
202,Laos,22,,"33,538","7,288,059"
203,Dominica,18,,"1,005","72,008"
204,Saint Kitts and Nevis,17,,"1,312","53,245"
205,Greenland,14,,"6,296","56,782"
206,Montserrat,13,1,61,"4,992"
207,Caribbean Netherlands,13,,424,"26,252"
208,Falkland Islands,13,,"2,256","3,491"
209,St. Barth,13,,"1,699","9,881"
210,Vatican City,12,,,801
211,Western Sahara,10,1,,"599,004"
212,MS Zaandam,9,2,,
213,British Virgin Islands,9,1,"1,522","30,256"
214,Saint Pierre Miquelon,4,,,"5,790"
215,Anguilla,3,,537,"15,019"
